1524,Carinarnica Ljubljana
1523,Carinska uprava Republike Slovenije
1522,Chemo
1510,Dnevnik
1509,Delo
1538,DZS
1516,Elektro Ljubljana
1528,Emona
1540,EPPS -0 Elektronsko pismo Pošte Slovenije
1504,Gospodarska zbornica Slovenije
1521,Iskra Invest
1545,Kanal A
1542,KDD -0 Centralna klirinško depotna družba
1525,Klinični center Ljubljana
1544,Droga Kolinska
1514,Kompas
1526,Lek
1502,Ministrstvo za finance
1501,Ministrstvo za notranje zadeve
1535,Ministrstvo za promet
1536,Mladinska knjiga Založba
1537,Mobitel
1520,Nova Ljubljanska banka
1534,Okrajno sodišče v Ljubljani
1503,Okrožno sodišče v Ljubljani
1527,Petrol
1600,Pošta Slovenije, PE Ljubljana
1550,RTV Slovenija
1532,Salamonov oglasnik
1513,SKB banka
1511,Slovenijales
1506,Slovenske železnice
1519,SPL Ljubljana
1543,Športna loterija
1546,Telekom Slovenije
1547,Telekom Slovenije, PE Ljubljana
1518,ZPIZ, Zavod za pokoj. in inval. zav. Slov.
1507,ZZZS, Zavod za zdrav. zav. Slov.
1529,Žito
2002,Pošta Slovenije, PE PLC Maribor
2504,Večer
2502,DURS, Davčni urad Maribor
2509,Elektro Maribor
2506,Henkel Slovenija
2505,Nova Kreditna banka Maribor
2503,Okrajno in okrožno sodišče v Mariboru
2500,Pošta Slovenije, uprava
2600,Pošta Slovenije, PE Maribor
2603,Pošta Slovenije, PE PLC Maribor, Centralno skladišče
2609,Pošta Slovenije, PE PLC Maribor, Paketni ekspedit
2610,Pošta Slovenije, Centralna RA pisarna
2501,Upravna enota Maribor
2507,Zavarovalnica Maribor
9501,Mura
9600,Pošta Slovenije, PE Murska Sobota
4501,Merkur
5600,Pošta Slovenije, PE Nova Gorica
8501,Krka
8600,Pošta Slovenije, PE Novo mesto
9502,Radenska d.d.
3503,Gorenje
3504,ERA
